iter	MultiClass
0	1.051195782
1	1.02612392322	1.005211352
3	0.9845220267
4	0.9714918993
5	0.956675351166	0.946978579877	0.937136820888	0.924894732999	0.9157835682110	0.9104982022111	0.8903135791112	0.8991541075
13	0.8904986117
14	0.8851621321
15	0.8806578339
16	0.876810231
17	0.8718288965
18	0.8638359379
19	0.8607736036
20	0.8556354267
21	0.8498680118
22	0.8425830116
23	0.8359714041
24	0.8329175569
25	0.827561176
26	0.8261313178
27	0.8230749726
28	0.817552993
29	0.8129908914
30	0.8070173084
31	0.8025192872
32	0.7972176126
333	0.7874328703334	0.7829054751335	0.7790768126336	0.7731026555337	0.77006589733338	0.759312613939	0.7608020804040	0.7575184584141	0.7533607814242	0.7493860634343	0.7450269414444	0.7415829994545	0.7362222846	46	0.73350347	0.47	0.73017748	0.48	0.727649	0.7249	0.72450	0.7250	0.716251	0.7251	0.713052	0.7152	0.709053	0.753	0.7050754	0.754	0.7030155	0.755	0.6980656	0.756	0.6950457	0.757	0.6931858	0.758	0.69059	0.69959	0.68960	0.6960	0.687961	0.6961	0.685562	0.6962	0.683563	0.6963	0.681364	0.6864	0.679665	0.6865	0.677766	0.6866	0.67567	0.68267	0.67268	0.68068	0.6769	0.679169	0.6670	0.67770	0.66471	0.67471	0.66272	0.67172	0.66173	0.66873	0.65974	0.6674	0.657275	0.6675	0.654676	0.6676	0.652977	0.6677	0.651078	0.6578	0.64979	0.65679	0.64680	0.65480	0.6447342974
81	0.64282	0.64982	0.63983	0.64783	0.6386468985
84	0.6372408661
85	0.6353460122
86	0.6328891731
87	0.6310734675
88	0.6296585691
89	0.6283829319
90	0.6261160541
91	0.6250449455
92	0.6238962749
93	0.6224389779
94	0.620534385
95	0.6189875664
96	0.6175160094
97	0.6156689806
98	0.6133250565
99	0.610182451
100	0.6088842951
101	0.6074587575
102	0.6058103021
103	0.6043222078
104	0.6028779634
105	0.6011002717
106	0.5998784316
107	0.5973583162
108	0.5964356736
109	0.5953740472
110	0.59370559
111	0.5917303722
112	0.5908586076
113	0.5893741958
114	0.5870098517
115	0.5856400355
116	0.5840232311
117	0.5826342497
118	0.5812554606
119	0.580107457
120	0.5787854144
121	0.5779578977
122	0.5766273407
123	0.5751778797
124	0.5739950849
125	0.5730204454
126	0.5716936383
127	0.5703714209
128	0.568618238
129	0.5673542277
130	0.5655995608
131	0.5636336249
132	0.5625257707
133	0.5611257308
134	0.5601096185
135	0.5590458829
136	0.5574996932
137	0.556109445
138	0.5549644842
139	0.5541800393
140	0.5535236358
141	0.5522655505
142	0.5514467136
143	0.5499306705
144	0.5481776008
145	0.5471863204
146	0.5456652416
147	0.5445666798
148	0.5428244269
149	0.541194501
150	0.5395595832
151	0.5382327738
152	0.5377246318
153	0.5365196422
154	0.535581466
155	0.5346440506
156	0.5332239981
157	0.5325206171
158	0.5315316685
159	0.5305677585
160	0.5296074341
161	0.5286347294
162	0.5273236992
163	0.5260190298
164	0.5253851159
165	0.524455533
166	0.522989204
167	0.5220245187
168	0.5210557578
169	0.5204236933
170	0.5192348994
171	0.5183832848
172	0.5178178052
173	0.5171662342
174	0.5164407425
175	0.5159901461
176	0.5145129667
177	0.5135262656
178	0.5122879834
179	0.5113817896
180	0.5102779027
181	0.5080483851
182	0.5065351805
183	0.5059158471
184	0.5050168848
185	0.5037963229
186	0.5021327755
187	0.5013224695
188	0.5005565236
189	0.4998484866
190	0.4977589411
191	0.497229661
192	0.4964851121
193	0.495216062
194	0.4944312351
195	0.4936499953
196	0.4921262676
197	0.4914996864
198	0.4905997756
199	0.4901162991
200	0.4891606448
201	0.488590881
202	0.4878508183
203	0.487102327
204	0.4867163854
205	0.4853307092
206	0.4842446511
207	0.483377245
208	0.4826934599
209	0.4815587962
210	0.4803548243
211	0.4797723065
212	0.4790770334
213	0.4783604011
214	0.4776282742
215	0.4768612747
216	0.4762216417
217	0.4755095673
218	0.4748738421
219	0.4743657126
220	0.4736775783
221	0.4718966506
222	0.4713279159
223	0.4706246435
224	0.4697682984
225	0.4687766839
226	0.4683167532
227	0.4675049565
228	0.4661319531
229	0.4658531148
230	0.4649956212
231	0.4645394891
232	0.4632945096
233	0.4619501098
234	0.4613319639
235	0.4608056032
236	0.4599130571
237	0.4592283501
238	0.4584664355
239	0.4581343514
240	0.457256616
241	0.4565968947
242	0.4556326472
243	0.4550775484
244	0.4546189223
245	0.4539106388
246	0.4530451202
247	0.4523855957
248	0.4518298656
249	0.4510896511
250	0.4502441923
251	0.4498740886
252	0.4491515772
253	0.4487282042
254	0.4482787326
255	0.4477317174
256	0.447172456
257	0.4467649177
258	0.4460591204
259	0.4454468054
260	0.4446128826
261	0.4441505062
262	0.4436327904
263	0.4432864691
264	0.4425529533
265	0.44198126
266	0.4412979205
267	0.4410142427
268	0.4403963328
269	0.4397417376
270	0.4393684024
271	0.4384834167
272	0.4377961462
273	0.4371848342
274	0.4369016061
275	0.4364204709
276	0.4361067162
277	0.4352571062
278	0.4343702375
279	0.4339353336
280	0.4335091573
281	0.4330023911
282	0.4323189899
283	0.4317264175
284	0.4312327865
285	0.4304319761
286	0.4299991183
287	0.4295762376
288	0.4287564503
289	0.4278826457
290	0.4272981813
291	0.426805083
292	0.4263829705
293	0.4259926886
294	0.4254081132
295	0.4249649744
296	0.4245673962
297	0.4240294308
298	0.4232566626
299	0.4229430346
300	0.4226281479
301	0.4222389018
302	0.4217534148
303	0.4211920687
304	0.4206561645
305	0.4202590416
306	0.4198012646
307	0.4189373399
308	0.4184683656
309	0.4180259094
310	0.4174926494
311	0.4171362182
312	0.4160924229
313	0.4157888563
314	0.4153636679
315	0.4139230063
316	0.4135987133
317	0.4128825117
318	0.4125500109
319	0.4120463815
320	0.4107073956
321	0.4101048765
322	0.4094394106
323	0.4089828647
