iter	Passed	Remaining
0	475	278836
1	783	229261
2	1128	21968033	1472	21460944	1807	21044055	2131	20638966	2506	20767277	2799	20263988	3176	20403199	3714	214311110	4123	215938111	4491	215211112	4927	217561113	5345	218798114	5763	219782115	6143	219260116	6616	221844117	7017	221836118	7360	220053119	7674	217566220	8012	215947221	8421	216291222	8815	216179223	9193	215673224	9582	215404
25	9937	214417226	10299	213614227	10627	212172228	11040	212432229	11381	211323330	11817	211953131	12207	211723232	12569	211021
33	12894	209721
34	13245	208901
35	13577	207808
36	13917	206878
37	14293	206498
38	14905	209437
39	15275	208890
40	15854	211140
41	16327	211869
42	16726	211606
43	17085	210850
44	17425	209884
45	17778	209092
46	18161	208660
47	18501	207755
48	18849	206957
49	19203	206242
50	19545	205415
51	19873	204470
52	20232	203847
53	20564	202983
54	20917	202331
55	21272	201708
56	21597	200820
57	21930	200018
58	22228	198925
59	22609	198584
60	22993	198272
61	23318	197453
62	23639	196619
63	24002	196146
64	24403	195982
65	24756	195424
66	25137	195098
67	25500	194625
68	25840	193992
69	26202	193524
70	26503	192615
71	26822	191853
72	27170	191307
73	27526	190824
74	27903	190491
75	28303	190302
76	28627	189613
77	29072	189714
78	29524	189852
79	29989	190061
80	30371	189730
81	30831	189879
82	31211	189527
83	31547	188908
84	31932	188586
85	32315	188258
86	32673	187778
87	33035	187325
88	33369	186716
89	33721	186215
90	34074	185725
91	34442	185318
92	34822	184970
93	35231	184780
94	35634	184547
95	35976	184006
96	36334	183547
97	36726	183257
98	37126	183006
99	37469	182477
100	37811	181946
101	38129	181301
102	38449	180674
103	38751	179972
104	39085	179421
105	39393	178755
106	39750	178319
107	40076	177746
108	40400	177168
109	40716	176563
110	41040	175993
111	41367	175444
112	41663	174767
113	41970	174139
114	42309	173652
115	42644	173151
116	42947	172523
117	43283	172035
118	43569	171347
119	43897	170835
120	44208	170257
121	44541	169769
122	44881	169309
123	45152	168592
124	45470	168060
125	45807	167599
126	46116	167034
127	46424	166476
128	46784	166104
129	47140	165717
130	47607	165718
131	47964	165331
132	48387	165172
133	48745	164788
134	49115	164445
135	49466	164040
136	49782	163520
137	50202	163339
138	50520	162829
139	50860	162389
140	51224	162030
141	51584	161654
142	51904	161157
143	52234	160692
144	52545	160174
145	52850	159637
146	53155	159104
147	53474	158615
148	53777	158082
149	54135	157714
150	54488	157332
151	54864	157012
152	55187	156545
153	55529	156132
154	55868	155711
155	56229	155351
156	56581	154969
157	56957	154651
158	57367	154422
159	57794	154239
160	58193	153977
161	58589	153707
162	59035	153563
163	59465	153376
164	59913	153233
165	60446	153302
166	60886	153127
167	61337	152977
168	61743	152715
169	62348	152938
170	62732	152612
171	63171	152418
172	63605	152211
173	64025	151969
174	64486	151819
175	64925	151615
176	65359	151397
177	65772	151129
178	66167	150817
179	66588	150563
180	67028	150352
181	67511	150230
182	67934	149975
183	68357	149718
184	68785	149469
185	69218	149229
186	69628	148938
187	70027	148621
188	70462	148381
189	70860	148061
190	71239	147700
191	71632	147368
192	72055	147098
193	72462	146791
194	72886	146521
195	73345	146316
196	73797	146096
197	74213	145802
198	74656	145561
199	75053	145227
200	75526	145041
201	75966	144786
202	76410	144540
203	76868	144316
204	77285	144014
205	77725	143754
206	78154	143472
207	78569	143163
208	79022	142921
209	79458	142646
210	79908	142395
211	80316	142068
212	80779	141838
213	81196	141524
214	81621	141223
215	82039	140910
216	82455	140591
217	82956	140416
218	83389	140125
219	83855	139885
220	84247	139522
221	84639	139159
222	85064	138849
223	85455	138483
224	85845	138116
225	86286	137829
226	86727	137541
227	87072	137101
228	87411	136651
229	87713	136146
230	88050	135697
231	88350	135192
232	88650	134688
233	88964	134207
234	89263	133706
235	89600	133262
236	89929	132807
237	90241	132328
238	90566	131870
239	90861	131371
240	91194	130926
241	91500	130444
242	91795	129949
243	92126	129505
244	92459	129066
245	92780	128610
246	93095	128147
247	93398	127670
248	93697	127188
249	94014	126730
250	94312	126251
251	94617	125781
252	94922	125312
253	95252	124878
254	95571	124429
255	95907	124004
256	96211	123539
257	96562	123136
258	96887	122698
259	97247	122307
260	97553	121848
261	97864	121396
262	98169	120938
263	98472	120479
264	98770	120015
265	99114	119608
266	99378	119105
267	99677	118646
268	100012	118230
269	100295	117754
270	100595	117299
271	100936	116893
272	101274	116484
273	101595	116055
274	101925	115638
275	102257	115224
276	102579	114800
277	102913	114389
278	103307	114045
279	103668	113665
280	103996	113249
281	104318	112827
282	104642	112407
283	105014	112039
284	105369	111655
285	105724	111269
286	106048	110852
287	106365	110428
288	106771	110096
289	107117	109703
290	107407	109253
291	107700	108806
292	108105	108474
293	108438	108069
294	108751	107645
295	109105	107262
296	109436	106857
297	109770	106455
298	110105	106055
299	110429	105644
300	110762	105243
301	111067	104815
302	111357	104374
303	111653	103940
304	111940	103498
305	112223	103055
306	112515	102619
307	112788	102168
308	113067	101723
309	113330	101266
310	113608	100822
311	113844	100343
312	114089	99874
313	114336	99407
314	114591	98948
315	114845	98491
316	115160	98086
317	115444	97655
318	115772	97263
319	116084	96858
320	116360	96423
321	116661	96010
322	116970	95603
323	117267	95189
324	117578	94786
325	117840	94345
326	118128	93924
327	118405	93496
328	118712	93093
329	119009	92683
330	119315	92280
331	119644	91895
332	119945	91489
333	120268	91101
334	120528	90666
335	120820	90256
336	121135	89863
337	121442	89465
338	121796	89102
339	122176	88757
340	122546	88406
341	122904	88045
342	123238	87667
343	123622	87326
344	124035	87004
345	124494	86714
346	124837	86343
347	125202	85986
348	125583	85641
349	125958	85292
350	126290	84913
351	126631	84540
352	126956	84158
353	127275	83771
354	127578	83375
355	127920	83004
356	128259	82632
357	128644	82289
358	128997	81926
359	129398	81593
360	129715	81207
361	130026	80817
362	130369	80448
363	130681	80060
364	131054	79710
365	131367	79323
366	131724	78963
367	132117	78624
368	132414	78228
369	132727	77842
370	133014	77442
371	133289	77035
372	133554	76623
373	133850	76230
374	134157	75843
375	134484	75468
376	134751	75060
377	135010	74648
378	135254	74229
379	135545	73836
380	135801	73425
381	136087	73031
382	136349	72624
383	136604	72215
384	136873	71813
385	137145	71415
386	137405	71010
387	137673	70610
388	137981	70232
389	138286	69852
390	138532	69443
391	138791	69041
392	139052	68641
393	139319	68245
394	139595	67854
395	139856	67456
396	140148	67073
397	140419	66681
398	140683	66286
399	140960	65898
400	141237	65511
401	141502	65119
402	141778	64732
403	142040	64340
404	142339	63965
405	142622	63583
406	142896	63197
407	143186	62819
408	143483	62445
409	143766	62065
410	143999	61663
411	144270	61279
412	144560	60904
413	144822	60517
414	145091	60134
415	145365	59753
416	145662	59382
417	145946	59006
418	146225	58629
419	146479	58243
420	146789	57878
421	147072	57504
422	147378	57139
423	147654	56763
424	147971	56403
425	148274	56037
426	148563	55667
427	148834	55291
428	149094	54911
429	149370	54537
430	149647	54164
431	149947	53800
432	150186	53415
433	150460	53042
434	150736	52671
435	151021	52303
436	151262	51920
437	151529	51547
438	151778	51168
439	152038	50794
440	152312	50425
441	152593	50058
442	152877	49693
443	153136	49321
444	153412	48953
445	153689	48588
446	153967	48222
447	154271	47865
448	154554	47502
449	154847	47142
450	155112	46774
451	155396	46412
452	155702	46057
453	156000	45700
454	156262	45333
455	156560	44976
456	156815	44608
457	157091	44246
458	157366	43884
459	157665	43529
460	157928	43164
461	158193	42801
462	158463	42439
463	158729	42077
464	159012	41719
465	159314	41367
466	159594	41009
467	159857	40647
468	160123	40286
469	160381	39924
470	160708	39580
471	160995	39225
472	161273	38869
473	161571	38518
