Comment,sentiment,sentiment_encoded
"realise discovered ai chanel end 2022 ! world video, new world since then...",neutral,0
"hold up, surgeon punctured someone skull caused someone stroke ai tool got wrong?!",negative,-1
really suck good enough right get like 8090 way lot situation use excuse still displace current worker outsource staff fill gap later better get rid outsourced people well. get double dip report shareholder way well. ive update resume decade im at. dont think youre safe whatever youre work.,positive,1
thanks sharing it.,positive,1
"remember smith eating spaghetti, wait",neutral,0
"dont think ai ever develop anything like intuition, inspiration, feeling anything like human do. einstein didnt arrive famous formula solely calculations.",positive,1
96 closer 1010 910,neutral,0
"want believe ai evil, forget powerful frequency is. dont held hostage illusion danger. architect",negative,-1
"would add perform visual art task well, would argue purely generation, not itteration not good making revisions, taking art direction maintaining consistency. complexlonger project interlinked dependancies regarding look feel assets, becomes much harder produce thing ai fit requirement project feel cohesive, whereas human made pipeline build efficiency, making production efficient time. also cannot task require problem solving 3 dimensional space, moving part logic etc.",positive,1
ai life saver professional adapt automation. but totally without personal life.,neutral,0
oh great. thing ai good creative work work everyone thought machine cant writing report scraping web,positive,1
chatgpt gpts produce much wrong answer general. check everything true point not really helping.,negative,-1
"159 id swayed study wouldve used mystery percentage job noncreativelabor. every labeled job study job creates new thing great showing ai shouldnt expected replace job create new things, but terrible saying hey, automate menial task ai mentallystimulating one instead?",negative,-1
"ai basically person no idea theyre doing, take random thing internet quickly put something together. but steroids.",negative,-1
ask ai count 200,positive,1
"chatgpt came started using it. excited prospects. used learning stuff found difficult learn youtube google problem started arising didnt understood wished, yield result nothing wished pretty clear google search compiler, actually found using google far faster chatgpt generally need example idea look forum see suit better faster without wait. stopped using. lately used search free learning game apps son, kid not none result free!",positive,1
"so, ai work best pleasing humans? creating songs, pictures. adult video. scam people trust.",positive,1
bubble maybe llm wont answer human like intelligence beyond but not going awsy business life definitely not military. dystopia still much track.,positive,1
greeting humanity!,positive,1
"thw funny part? recorded line video 90 ai generated. pattern friend, compare pattern easily get it.",positive,1
"im professional 21 years, llm made work faster, better, innovative. make now, 84 used make 5 year come on, stop click bait. 13 client replace human ai good. not llm issues, lack knowhow. people want write dumb prompt build next amazon.",positive,1
ppl like succeed u dont,positive,1
success rate around 80 percent not sure believe statistic,positive,1
"true ai still cannot thing fully autonomously, no one ai circle delusional enough think either. however, people dont understand full automation means. look metr bechmark testing long ai model work autonomously, curve steep exponential. regardless, many people replacing ai augmented intelligence 1 population gonna capture value old economical system continues.",positive,1
evil rule world ai one biggest tools.,negative,-1
pro tip begs question not mean think does. try brings question,neutral,0
"think ai great creating art? loved respected piece artpop culture ip made ai genuinely new, not derivative existing human ip?",positive,1
031 faulure rate? whats that?,neutral,0
know bad question but use it?,negative,-1
"yes let pretend ai consists public , free use llme enterprise software level ai program suite wont vastly outperform this. kinda video feel like dishonest delusion, cant tell purposefully obtuse or, ironically, ai slop",positive,1
"think company know ai isnt good actually replace people completely, but know make produce work faster. real nightmare forced use ai augment work job mindlessly prompting ai reviewing response. enjoyable part work replaced simply human interface ai boss.",positive,1
couldnt even count 200 200 without cracking upon reaching 69,positive,1
"right point, completely agree",positive,1
ai fails 96 task trillion dollar investment,negative,-1
totally love videos!! thats it.... great!,positive,1
ai video still look off.,neutral,0
article matt schumer,neutral,0
funny enough got two ai add 1014 thought part video,positive,1
like climate change lmao literally co trobuting regular joes crazy scale,positive,1
"short sighted. opus went 4 9, mean exponential growth itll 80 within years.",positive,1
use codex work massive productivity boost. troubleshooter correlating error code reading log done super fast ai tool fix issue automatically. tech multiplier not replacement.,positive,1
"call program are, name, describe talking instead generically calling everything a.i.",neutral,0
"doesnt surprise ai worse human job tech industry want u think. havent used ai much, never purpose google added ai searches, but seen enough know thing really good like compiling large amount relatively simple information, thing ai probably never really good like human empathy. but tech industry see hugely profitable try make harder harder avoid, course not interested slowing roll, addressing basic concern happens teach soulless machine approximate human interaction. see golden opportunity make forprofit technology part human life despite risk identified. capitalism great creating new stuff but not good mitigating massive social disruption caused fantasy projects. want social engineering experiment everything everyone.",positive,1
"need take time consideration comparing output quality. 2 minute work ai many fields, far higher quality 2 minute human. wouldnt able write coherent report large amount data less 5 hours. get usable result 5 minute ai. though, quality bad spend 20 minute editing it. but gave 5 minutes, wouldnt able even analyse single data set",negative,-1
"exactly! part problem keep using term ai. not ai !!! tech bros keep pushing buzz word ai get funding attention, but really language model predictable word generation. llm best distant predecessor real ai. current version ai doesnt consciousness, motivation, imagination anything resembling artificial intelligence. gonna take radically new approach step ai next level. cant achieve llm work like word autocompletion tool statistically average answers. currently word ai not even used official documents, company could get sued misleading people. document term like llm similar one used. start calling is, still useful tool, but nothing llm.",positive,1
"depends task give it. job displacing how. yes, developer ai work faster three shitty developer",negative,-1
"open ai ceo uncanny face, urgh...",neutral,0
836 thanks sutton here. meal,positive,1
pretty much fit experinces work. ai great thing but usually need lot handholding. problem double check everything ai not really productivity gain me.,positive,1
"dont ai bubble, leadership bubble. every person leadership position think first catch ai trend profit it.",positive,1
devops guy ..we developed ai feature since devops testing ai product,neutral,0
thats great book called bullshit jobs. lot human job dont create real value. intelligence make everything better respectfully disagree video. think there pile evidence intelligence improving thing,positive,1
"want true, but quickly model improve, think reaching competency within couple years.",positive,1
"really doesnt matter tech ceos. line still go up, everything fine.",positive,1
"treat ai like car, not tool. useful situation work but cause problem solves not applied appropriately.",positive,1
"useless experiment. gave cat task order pizza, succeeded 3.5 time. experiment setup failure failed. revelation. current ai model not made complete autonomy. like asking toaster walk dog. especially limited context window make autonomy almost impossible. experiment actually make sense current ai development stage? like writer freelancer, measure many gig ai many without. period time.",negative,-1
"thing is, assumption based single large model tasks. not account workflow ai system smallllm augmented heuristic multilayered architecture created rapidly ai cursor. yes, absolutely need human create but 100 generate better work mroe consistently. noncourrption need provenance. system take time build, 5 year see boost.",positive,1
company quietly offshoring job,neutral,0
dont get hope lmao change improve.,positive,1
"last 10 year tech unready period. nothing work anymore. product released unfinished worse yet, none make life easier. gimmick best spyware subscription bill worst. mind boggling company get away releasing pure incomplete garbage year year.",negative,-1
yeah half half human half ai.,positive,1
"misunderstanding public company emergent systems. contraintrelaxation must cyclical alignment compression occur no point using ai like linear function, reality multidimensional emergent system.",negative,-1
"microslop one best example, look slop update happens adapt ai writing unmaintained, unsupervised code. powerful weapon mass destruction.",positive,1
rare coldfusion l,positive,1
