Comment,sentiment
"Do you realise I discovered AI with your chanel at the end of 2022 !
There was a world before your video, and a new world since then...       ^^",neutral
"Hold up, surgeons PUNCTURED SOMEONE'S SKULL AND CAUSED SOMEONE TO HAVE A STROKE because their AI tool got it wrong?!",negative
"What really sucks is that it's good enough right now to get like 80-90% of the way there in a lot of situations so they can use the excuse to still displace current workers and outsource staff to just fill in gaps and then later when it's better they can just get rid of those outsourced people as well.  They get to double dip on their reports to shareholders this way as well.  This is why I've just had to update my resume after a decade where I'm at.  

Don't think you're safe out there whatever you're doing for work.",positive
Thanks for sharing it. ✌️,positive
"Remember Will Smith eating spaghetti, just wait for it",neutral
"I don't think AI will ever develop anything like intuition, inspiration, or a feeling for anything like humans do. 
Einstein didn't arrive at his famous formula solely through calculations.",positive
96% is closer to 10/10 than 9/10,neutral
"They want you to believe that AI is evil, so you forget how powerful your own frequency is. Don't be held hostage by an illusion of danger. You are the architect of your own",negative
"I would just add that while it does perform visual arts tasks well, I would argue that is purely for generation, not itteration - it's not good at making revisions, taking art direction or maintaining consistency. On complex/longer projects with interlinked dependancies regarding look and feel for assets, it becomes much harder to produce things with AI that fit the requirements of the project and feel cohesive, whereas human made pipelines build for efficiency, making production more efficient over time. It also cannot do tasks that require problem solving in 3 dimensional space, moving parts with logic etc.",positive
AI has been a life saver as an IT professional that has had to adapt to automation. But I can totally do without it in my personal life.,neutral
Oh great. The only few things ai is good at is creative work - a work everyone thought machines can’t do and writing a report and scraping the web,positive
Chatgpt and other gpts produce so much wrong answers in general. I have to check everything again if it’s true to the point it’s not really helping.,negative
"1:59
I'd be more swayed by this study if it would've used more than ""some mystery percentage"" of jobs that are non-creative/labor. Every labeled job in that study is a job that creates new things

This is great for showing that AI shouldn't be expected to replace the jobs that do create new things, but terrible at saying ""Hey, how about we automate menial tasks with AI and just do the more mentally-stimulating ones instead?""",negative
"AI is basically that person who has no idea what they're doing, so takes random things from the internet and quickly puts something together. But then on steroids.",negative
Ask ai to count to 200😂,positive
"When ChatGPT came out I started using it.
I was very excited by the prospects.
I used it for learning some stuff I found difficult to learn on YouTube or Google and the problems started arising: It didn't understood what you wished, yield results that have nothing to do with what you wished and was pretty clear just a Google Search compiler, actually I found using Google was far faster than ChatGPT because generally all I need is an example or an idea and I can look up on forums and see what suits me better faster without having to wait. So I stopped using.
Lately I used it to search for free learning game apps for my son, I kid you not: None of the results were free!",positive
"So, ai will work best for pleasing humans?
Creating songs, pictures. Adult video.
Scam people because of their trust.",positive
There is a bubble and maybe llm won't be answer to human like intelligence and beyond but its not going awsy in business life and definitely not the military.  Dystopia is still very much on track.,positive
Greeting to humanity!,positive
"Thw funny part? I recorded all the lines of this video: over 90% are AI generated. 😂 Patterns my friend, compare patterns and you easily get it.",positive
"I'm a IT professional for 21 years, LLM made my work faster, better, innovative. I make now, 84% more than I used to make 5 years  before so come on, stop the click bait. 1/3 of my clients replace humans by AI and they are doing very good. It's not LLM issues, it's lack of know-how. People want to write dumb prompts and build the next Amazon. 😂",positive
this is why ppl like me succeed and u dont,positive
My success rate is around 80 percent so not sure I believe that statistic,positive
"It's true that AI still cannot do things fully autonomously, no one in the Ai circle delusional enough to think that either. However, people don't understand ""full automation"" means. If you look at METR bechmark for testing how long AI models can work autonomously, the curve is a steep exponential. Regardless, many people HAVE been replacing you with AI being augmented intelligence and 1% of population is gonna capture most of the value if the old economical system continues.",positive
evil rules our world and ai is one of their biggest tools.,negative
"Pro Tip: ""Begs the question"" does not mean what you think it does. 
Try ""brings the question""",neutral
"You think AI's great at creating art? What is the most loved and respected piece of art/pop culture IP that is made by AI that is genuinely NEW, and not derivative of existing human IP?",positive
0:31 Faulure Rate? What's that?,neutral
I know this is a bad question but how did you use it?,negative
"Yes let's pretend ""AI"" consists of public , free use LLMe and enterprise software level AI program suites won't vastly outperform this. These kinda videos feel like dishonest delusion, and I can't tell if it's purposefully obtuse or, ironically, AI slop",positive
"I think companies know that AI isn’t good to actually replace people completely, but they know it can make them produce work faster. The real nightmare to me is that we will be forced to use AI more and more to augment our work until jobs are just mindlessly prompting AI and reviewing its response. Any enjoyable part of work will be replaced with simply being the human interface between the ai and the boss.",positive
Couldnt even count to -200 to 200 without cracking up upon reaching 69,positive
"Right to the point, completely agree",positive
AI fails at 96% of tasks *after trillions of dollars in investment,negative
I totally love your videos!! Thats it.... They are just great!,positive
"The AI videos still look ""off.""",neutral
what about article by Matt Schumer,neutral
funny enough I got two AI adds at 10:14 thought it was part of the video,positive
Like climate change LMAO they are literally co trobuting to it more than regular joes can by a crazy scale,positive
"This is very short sighted. If opus went from 4% to 9%, that means we're in the exponential growth where it'll be 80%+ within years.",positive
I use codex at work and it has had a massive productivity boost. Troubleshooter and correlating errors in code with reading logs is done super fast with the ai tools and it can fix the issue automatically. This tech is a multiplier not a replacement.,positive
"Can we call these programs what they are, by their name, and describe what they do when talking about them instead of just generically calling everything A.I.",neutral
"It doesn't surprise me at all that AI is worse at human jobs than the tech industry wants us to think. I haven't used AI much, and never on purpose (Google has added AI to its searches), but I have seen enough to know that there are things it's really good at (like compiling large amounts of relatively simple information), and things that AI will probably never really be good at (like human empathy). 

But the tech industry sees it as hugely profitable (as they try to make it harder and harder to avoid), so of course they are not interested in slowing their roll, or addressing the most basic concerns about what happens when you teach soulless machines to approximate human interaction. They see this as a golden opportunity to make their for-profit technology more and more a part of human life (despite all the risks that have been identified). Capitalism is great at creating new stuff but not so good at a mitigating the massive social disruption caused by their fantasy projects. They want their social engineering experiments to be everything to everyone.",positive
"We need to take time into consideration when comparing output quality. 2 minutes of work from an AI in many fields, is of far higher quality than 2 minutes from a human. I wouldn’t be able to write a coherent report of large amounts of data in less than 5 hours. I can get the a usable result in 5 minutes through an AI. Though, the quality is bad and I have to spend 20 minutes editing it. 
But if you just gave me 5 minutes, I wouldn’t be able to even analyse a single of my data sets",negative
"Exactly! And part of the problem is that we keep using the term AI. This is NOT AI !!! The tech bros keep pushing the buzz word AI to get more funding and attention, but it's really just a language model with predictable word generation. LLMs are at best a distant predecessor of the real AI. The current version of ""AI"" doesn't have its own consciousness, or motivation, or imagination or anything resembling artificial intelligence. It's gonna take a radically new approach to step up the AI to the next level. You just can't achieve that with a LLM that works like a word auto-completion tool with statistically average answers.
Currently the word ""AI"" is not even used in official documents, because those companies could get sued for misleading people. In those documents only terms like ""LLM"" and other similar ones are used. So we should all start calling it what it is, still a useful tool, but nothing more than a LLM.",positive
"Just depends what task you give it. What jobs is it displacing and how. 

Yes, on developer with AI works faster then three shitty developers",negative
"Open AI Ceo has such an uncanny face, urgh...",neutral
8:36 thanks for having Sutton here. I had a meal with him once,positive
This pretty much fits my experinces at work. AI can do some great things but usually needs a lot of handholding. The problem is if I have to double check everything the AI does it is not really a productivity gain for me.,positive
"We don't have a AI bubble, we have a ""leadership"" bubble. Every person in ""leadership"" position thinks they will be the first to catch AI trend and profit from it.",positive
i am a devops guy ..we developed an AI feature since then i am doing devops + testing AI product,neutral
"That’s a great book called bullshit jobs. A lot of human jobs don’t create real value. And intelligence makes everything better so I respectfully disagree with the video.

I think there’s a pile of evidence of intelligence improving things",positive
"I want this to be true, but with how quickly the models improve, I think they will be reaching competency within a couple of years.",positive
"It really doesn't matter for the tech ceos. While line still go up, everything is fine.",positive
"Treat AI like you do a car, not a tool. It's only useful in some situations when it can work for you but it can cause more problems than it solves when not applied appropriately.",positive
"What a useless ""experiment"". 
I gave my cat the task to order a pizza, it succeeded only 3.5% of the time.

The ""experiment"" was setup for failure and it failed. What a revelation. Current AI models are not made for complete autonomy. It's like asking your toaster to walk your dog. Especially the limited context window makes autonomy almost impossible.

How about an experiment which actually makes sense in the current AI development stage?
Like a writer freelancer, measure how many gigs he can do with AI and how many without. In the same period of time.",negative
"The thing is, your assumptions are based on single large model tasks. You do not account for Workflow AI Systems with small-LLM augmented with heuristics and multi-layered architecture created rapidly with AI in Cursor. Yes, you absolutely need humans to create it but it will 100% generate better work and mroe consistently. For non-courrption you need Provenance. These systems take time to build, in 5 years you will see the boost.",positive
Companies are quietly offshoring jobs,neutral
Don't get your hopes up lmao it will change and improve.,positive
"The last 10 years of tech is unready period.
Nothing works anymore. Product is released unfinished and worse yet, none of it makes life easier. It’s all gimmicks at best and spyware with a subscription bill at worst.
It’s mind boggling how companies get away with releasing pure incomplete garbage year after year.",negative
Yeah they will half it half human half AI.,positive
"It's misunderstanding of both the public and the companies of emergent systems. Contraint-Relaxation must be cyclical for alignment and compression to occur; There is no point of using AI like a linear function, when it's in reality a multidimensional emergent system.",negative
"and microslop is one of the best example, look at these slop update that happens when they adapt AI writing unmaintained, unsupervised code. it is just a powerful weapon of mass destruction.",positive
Rare Coldfusion L,positive
"As a software engineer with 30 years experience developing and supporting enterprise software applications my response is that this study is not measuring the right things. If you dont understand how to use AI, then you're not going to design a valid study that measures the productivity increases achieved through using AI. AI may not yet replace people for all aspects of a project, but a human-in-the-loop requirement doesn't doesnt negate the productivity gains that we have achieved through incorporating AI into our workflows. I no longer need  a team of developers to create an  enterprise ready application. I need 1 or 2 providing the guardrails to AI agents that generate the code and (infrastructure as code).",positive
So can we have the RAM and GPUs back now please,positive
Counterpoint: AI is not nor has ever been nor will ever be a time saving tool. Even developers who thought they were faster wth code bots turned out to actually be slower. It's all smoke and mirrors,negative
"AI or more technically LLMs were just meant to be used as tools. You can't expect tools to work by themselves just as you can't expect a hammer to smash down a nail on its own. And we all know that at the right hands, tools help get the job efficiently.",positive
"they keep pushing for these damn ai so they can have something to abuse because labor laws exist

theyll pay all the money if it means they can always have workers 24/7

then theres a notion of ai sentience too ToT",negative
"6:48 if the AI image was chosen as better than the human-made one in this case, I guess the other ~4% were failures as well. What a bland and boring design.",negative
"Today I asked an AI how much money an article with 80 million views gets. It confidently told me that at a .$02 rate per download, an 80 million download article would generate 1.6 billion dollars.

It even told me 80,000,000*.02=1.6 billion.

So yeah. Good luck with this.",positive
Like trying to cure the human cold. Lmfao when it all comes crashing down.,positive
"""I'm not saying all AI sucks.""

Just 96% of it...",negative
We're falling into the trough of disillusionment arent we??,negative
"This comment section. We know AI isn't capable of or ready to replace human workers. That's not why we're saying AI will take jobs

We're saying it because management sees more black ink on the bottom line and they will hit their targets if they replace humans

So it really doesn't matter if AI is ready to replace humans or not as long as humans think it can and in turn they'll get their end of year bonuses",positive
"This is the complete opposite of the prediction 10 - 20 years ago when sites like Forbes keep saying creative jobs are the hardest to replaced, now these jobs are getting hit the hardest lol",positive
"It was all a money grab and people felt for it badly, transfer of wealth",neutral
I spent more time correcting AI responses than actually getting more from it.,neutral
"For ai agents and automations, devs need to make sure that the llm codes for hallucinations, bias, debugs itself, corrects inaccuracies in source references, codes adequate security against malware, viruses, and other hacking techniques. The dev needs to know how to prompt efficiently and effectively to avoid slop, churn, etc. There are other factors I’m sure that need to be taken into consideration but here’s a start.",positive
"I only trust an LLM answer to things I don’t care, like who is so-so (usually a social media influencer or a Hollywood “start”)… besides that I always go to the source websites. How come someone can trust an LLM to do surgery? That’s stupidity.",positive
It won’t replace people one to one. It will reduce the number of people needed on a team by making others more efficient.,positive
"Faulure rate, i think that makes a pretty good point that the AI helping with your videos is fauling.",positive
"Remember that game, Horizon? the one where killer robots scoured earth of all life, but it'll instead be the expanding need for building server parks to provide AI computing capabilities in order to generate images.",negative
